country_code,year,total_population,male_population,female_population,working_age_population_ratio,mortality_rate,life_expectancy,life_expectancy_male,life_expectancy_female,fertility_rate
FIN,1960,4429634.0,2133477.0,2296157.0,60.5333407747695,21.9,68.819756097561,65.41,72.4,2.72
FJI,1960,404887.0,209393.0,195494.0,99.3240781765372,61.0,58.602,57.197,60.589,6.364
FRA,1960,47412964.0,23024156.0,24388808.0,61.3332500346397,23.7,69.8682926829268,66.6,73.3,2.85
FRO,1960,34127.0,17711.0,16416.0,68.8953776106107,,72.1079268292683,69.585,74.757,3.854
FSM,1960,43061.0,21889.0,21172.0,94.8461538461538,96.5,54.195,51.194,57.66,6.742
GAB,1960,512316.0,248121.0,264195.0,64.4547450597707,111.6,46.443,43.857,49.126,4.422
GBR,1960,52400000.0,25312740.0,27087260.0,53.9505140771877,22.9,71.1268292682927,68.2,74.2,2.69
GEO,1960,3645600.0,1721350.0,1924250.0,56.6775556479087,,61.347,56.773,65.897,2.942
GHA,1960,6961215.0,3558232.0,3402983.0,93.5217394567826,121.8,46.942,45.024,49.166,6.89
GIB,1960,21839.0,10425.0,11414.0,52.0927641200641,,70.209,67.359,72.823,3.102
GIN,1960,3556749.0,1768009.0,1788740.0,78.5911941348461,191.2,36.623,35.406,37.896,6.112
GMB,1960,398060.0,196857.0,201203.0,77.5682174035232,156.4,34.574,33.835,35.309,6.246
GNB,1960,577633.0,288960.0,288673.0,69.1983456065426,,37.554,35.954,39.268,5.921
GNQ,1960,269807.0,131273.0,138534.0,78.7938026825001,,42.742,39.972,45.707,5.653
GRC,1960,8331725.0,4087727.0,4243998.0,51.2211713749095,38.6,70.4343170731707,67.907,73.088,2.23
GRD,1960,94058.0,44938.0,49120.0,104.919389978214,60.9,63.144,61.285,64.608,6.743
GRL,1960,32500.0,16625.0,15875.0,84.9112426035503,,58.552243902439,55.982,61.251,6.686
GTM,1960,4063655.0,2080939.0,1982716.0,95.5252010269794,155.5,45.76,45.582,45.907,6.999
GUM,1960,69525.0,41235.0,28290.0,72.0404830248441,,62.882,61.721,64.721,5.969
GUY,1960,569143.0,284021.0,285122.0,101.004061451527,70.5,57.51,55.122,60.104,6.331
HKG,1960,3094840.0,1577514.0,1517326.0,76.4387628922402,,65.6971219512195,62.022,69.556,5.085
HND,1960,2062060.0,1034018.0,1028042.0,100.964445336727,141.2,47.149,45.672,48.69,7.458
HRV,1960,4140181.0,1941758.0,2198423.0,52.149886811313,,65.7464878048781,63.406,68.204,2.239
HTI,1960,3858443.0,1877608.0,1980835.0,78.301762110466,193.2,43.44,41.26,45.62,6.178
HUN,1960,9983512.0,4816020.0,5167492.0,52.334420915513,48.0,68.0031707317073,65.93,70.18,2.02
IDN,1960,88296070.0,43939874.0,44356196.0,73.0194984409818,144.9,46.835,45.144,48.602,5.505
IMN,1960,48868.0,22422.0,26446.0,60.1304191106596,,64.557,59.431,69.788,2.682
IND,1960,435990338.0,224897757.0,211092581.0,78.1963185263407,150.6,45.61,46.295,44.882,5.921
IRL,1960,2828600.0,1422736.0,1405864.0,72.7420960384007,30.4,70.1942682926829,68.485,71.989,3.78
IRN,1960,21470434.0,10995827.0,10474607.0,91.0109246788065,,43.297,43.938,42.614,7.519
IRQ,1960,7022052.0,3463683.0,3558369.0,75.9017212286875,137.7,51.462,48.331,54.761,5.3
ISL,1960,175574.0,88684.0,86890.0,75.2602840914763,17.3,74.0400731707317,72.423,75.738,4.29
ISR,1960,2114020.0,1063395.0,1050625.0,67.4069510446206,38.4,,,,3.866
ITA,1960,50199700.0,24345379.0,25854321.0,52.7113345131115,44.2,69.1239024390244,66.68,71.69,2.4
JAM,1960,1650005.0,784885.0,865120.0,83.1966949195824,63.7,63.828,61.999,65.483,5.538
JOR,1960,853471.0,436853.0,416618.0,100.987662461526,109.6,52.678,52.362,53.078,7.599
JPN,1960,93216000.0,45305600.0,47910400.0,55.2221773083982,30.4,67.6956097560976,65.32,70.19,2.0
KAZ,1960,9429981.0,4552543.0,4877438.0,73.8570490410558,,57.946,53.207,62.926,4.495
KEN,1960,7695307.0,3815019.0,3880288.0,108.002407812253,112.7,48.477,47.234,49.913,7.651
KGZ,1960,2172300.0,1042557.0,1129743.0,81.3396242480704,,55.0285853658537,51.052,59.204,5.309
KHM,1960,5449966.0,2735442.0,2714524.0,86.7014013309664,,42.134,41.065,43.234,6.313
KIR,1960,47157.0,23238.0,23919.0,92.344087775829,144.6,47.958,46.618,49.295,6.441
KNA,1960,55810.0,25643.0,30167.0,102.639700809702,,56.84,54.267,59.138,6.541
KOR,1960,25012374.0,12587784.0,12424590.0,79.9823503075384,73.5,53.7975609756098,51.38,56.336,5.994
