"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Armenia","ARM","Population, female","SP.POP.TOTL.FE.IN","958824","990539","1022504","1054591","1086630","1118427","1149797","1180616","1210708","1239253","1265253","1290907","1318243","1346741","1376228","1406530","1450688","1510495","1573237","1611340","1624735","1638723","1652566","1666610","1683555","1702913","1721727","1740089","1754812","1799212","1853430","1884305","1863267","1803952","1759430","1730597","1715653","1698721","1684577","1674586","1715426","1718087","1713341","1704865","1696262","1687234","1677850","1668302","1660037","1653106","1646388","1639176","1636100","1633875","1628353","1622381","1614828","1607072","1599966","1594385","1592424","1591948","1594364","1589229","1625023",
"American Samoa","ASM","Population, female","SP.POP.TOTL.FE.IN","9627","9891","10209","10544","10899","11260","11620","11980","12348","12722","13039","13281","13503","13714","13924","14174","14449","14713","14968","15226","15612","16178","16811","17462","18130","18813","19508","20218","20950","21692","22396","23030","23629","24207","24767","25313","25845","26363","26866","27349","27687","27826","27866","27849","27800","27727","27631","27523","27409","27297","27171","27009","26805","26566","26303","26017","25713","25406","25098","24788","24591","24337","23912","23520","23163",
"Antigua and Barbuda","ATG","Population, female","SP.POP.TOTL.FE.IN","29047","29502","29894","30290","30766","31319","31868","32427","33010","33609","34011","34119","34077","33958","33830","33737","33714","33774","33875","34005","34131","34217","34291","34376","34268","33952","33628","33297","32967","32642","32345","32421","33011","33781","34591","35451","36355","37258","38099","38869","39606","40260","40774","41200","41614","42058","42553","43101","43704","44334","44909","45416","45881","46287","46641","46966","47248","47499","47726","47940","48179","48430","48670","48908","49139",
"Australia","AUS","Population, female","SP.POP.TOTL.FE.IN","5083846","5187217","5320851","5428796","5538919","5650569","5783560","5859593","5965649","6093060","6216526","6433600","6555758","6659196","6833288","6923356","7000049","7086508","7176249","7260346","7354585","7472967","7602819","7706244","7798953","7902274","8016867","8142502","8280609","8424576","8553216","8667465","8769924","8852484","8941368","9044655","9159837","9265306","9363566","9471180","9583950","9709404","9819455","9931483","10036451","10156915","10291010","10473808","10677043","10893099","11063352","11220344","11420151","11623473","11807380","11989061","12185876","12390298","12575335","12762303","12922405","12940520","13106508","13429072","13706225",
"Austria","AUT","Population, female","SP.POP.TOTL.FE.IN","3764891","3783504","3804071","3825240","3847021","3867102","3888149","3911057","3927517","3938518","3949122","3963018","3981424","3998551","4004843","3998098","3992645","3993267","3989655","3983149","3981998","3988186","3987477","3978767","3975523","3973607","3971398","3968978","3969261","3980555","4002436","4033690","4070958","4098685","4110155","4114223","4118529","4121944","4124768","4130289","4136954","4148251","4163642","4180456","4203427","4228409","4246626","4259438","4272022","4281935","4291038","4303321","4319277","4340495","4368617","4406308","4444184","4472069","4492681","4511901","4530017","4549341","4592386","4637070","4659475",
"Azerbaijan","AZE","Population, female","SP.POP.TOTL.FE.IN","2051760","2127494","2187912","2249836","2322401","2389705","2456177","2517806","2575781","2632965","2687056","2742285","2796278","2847107","2896691","2943464","2992079","3046544","3105173","3156473","3198877","3245130","3292376","3340683","3396791","3455353","3513594","3575263","3628241","3677236","3725370","3772125","3827472","3884462","3945945","4010503","4068821","4125526","4182975","4226501","4255061","4280760","4305379","4330999","4361277","4397250","4436760","4478388","4564644","4652844","4701897","4756745","4813149","4868452","4922666","4975274","5020488","5055686","5087628","5123706","5156200","5176589","5175175","5178464","5201576",
"Burundi","BDI","Population, female","SP.POP.TOTL.FE.IN","1427970","1463122","1499161","1529752","1572291","1615096","1653334","1694333","1733795","1770564","1808211","1851317","1852910","1852379","1898109","1944124","1986677","2036657","2094494","2145600","2235191","2325904","2383244","2446484","2505186","2558760","2606297","2665468","2725043","2779079","2836917","2895539","2972997","2883393","2902820","3079085","3081768","3082085","3141025","3216336","3283391","3366411","3461939","3571594","3705212","3843265","3982046","4129757","4301154","4521623","4735411","4905577","5081452","5264965","5444623","5568228","5663968","5797317","5973387","6171156","6352087","6526617","6704830","6889475","7069192",
"Belgium","BEL","Population, female","SP.POP.TOTL.FE.IN","4670041","4688463","4708343","4743439","4788410","4832026","4864806","4892034","4911621","4926130","4931415","4940964","4961408","4978148","4994687","5009831","5019515","5026504","5031841","5036724","5042742","5043272","5042317","5041972","5042070","5043942","5045520","5049220","5064917","5082566","5097009","5114751","5133653","5152513","5168083","5180063","5191356","5204048","5214851","5226579","5239284","5256453","5278172","5299049","5321822","5350962","5385326","5423102","5463702","5503286","5547894","5617084","5650217","5675983","5700102","5727501","5752119","5773392","5797464","5825838","5847609","5873102","5923682","5977124","6020301",
"Benin","BEN","Population, female","SP.POP.TOTL.FE.IN","1324982","1345546","1367881","1391581","1416729","1443331","1471068","1499848","1529935","1561427","1594377","1628706","1664530","1701944","1740952","1781810","1824743","1869897","1917165","1967004","2020095","2076382","2135342","2196414","2259804","2325825","2394505","2465960","2540228","2617174","2696784","2779049","2863888","2990437","3101195","3165002","3245912","3339811","3441077","3546091","3653787","3763956","3876903","3993540","4114144","4246993","4379553","4506753","4640959","4778532","4919608","5064646","5213397","5365440","5522460","5684296","5849451","6017172","6185787","6354457","6523643","6692742","6863042","7036429","7210159",
"Burkina Faso","BFA","Population, female","SP.POP.TOTL.FE.IN","2347781","2388535","2430345","2473411","2518147","2564900","2613276","2663294","2715156","2768216","2822638","2877767","2933820","2992322","3054492","3120962","3192020","3269469","3353313","3442283","3536319","3634279","3735808","3842110","3952965","4067195","4182759","4298739","4415853","4534582","4655542","4776437","4897987","5022958","5152206","5286499","5424397","5566597","5719759","5883966","6055489","6235370","6422474","6617010","6819499","7029076","7245333","7464998","7686863","7914483","8149230","8392832","8647137","8907654","9173374","9445123","9720816","9997287","10267366","10528619","10785623","11041607","11297679","11557013","11818695",
